,larva,pupa,adult
highgt,40.432,101.36,72.76
highpd,42.9672727273,98.112,72.8
lowgt,29.12,50.1511111111,43.5555555556
lowpd,27.104,49.0311111111,33.0192592593
rategt,2.6875,2.7801724138,7.3265720081
ratepd,2.9439834025,2.7741935484,7.3265720081
ratiogt,0.2797783934,0.5052179251,0.4013804899
ratiopd,0.3691943128,0.5002536783,0.5464387464
highgt,22.96,59.1111111111,57.12
highpd,19.88,60.5661538462,48.16
lowgt,12.88,44.24,58.24
lowpd,15.12,42.56,57.12
rategt,6.0,2.41875,8.0625
ratepd,6.0,3.45061728395,12.09375
ratiogt,0.439024390244,0.251578947368,-0.0196078431373
ratiopd,0.239436619718,0.297297297297,-0.186046511628
highgt,76.72,62.16,56.0
highpd,77.84,65.52,57.9911111111
lowgt,23.52,60.1066666667,37.52
lowpd,25.76,55.6266666667,35.7155555556
rategt,5.375,5.48936170213,6.54822335025
ratepd,5.375,5.48936170213,5.86363636364
ratiogt,0.693430656934,0.033033033033,0.33
ratiopd,0.669064748201,0.150997150997,0.384120171674
highgt,67.2,58.688,53.3866666667
highpd,70.56,59.1242105263,48.16
lowgt,21.28,31.1733333333,57.12
lowpd,31.36,32.312,57.12
rategt,4.8679245283,2.65159301131,12.09375
ratepd,3.58333333333,2.51901336074,12.09375
ratiogt,0.683333333333,0.468829516539,-0.0699300699301
ratiopd,0.555555555556,0.453489531406,-0.186046511628
highgt,62.72,63.28,73.4222222222
highpd,64.2133333333,56.0,72.464
lowgt,29.12,71.68,69.2533333333
lowpd,34.72,72.8,65.3333333333
rategt,3.98969072165,8.89655172414,5.98453608247
ratepd,4.03125,6.14285714286,6.64948453608
ratiogt,0.535714285714,-0.132743362832,0.0567796610169
ratiopd,0.459302325581,-0.3,0.0984028851108
highgt,65.632,96.04,55.72
highpd,65.28,96.2181818182,57.6177777778
lowgt,41.0666666667,62.8218181818,39.84
lowpd,39.872,60.5818181818,38.2666666667
rategt,2.9185520362,3.19175257732,5.43157894737
ratepd,4.08597285068,2.93181818182,6.11052631579
ratiogt,0.374288964733,0.345878611185,0.284996410625
ratiopd,0.389215686275,0.37037037037,0.335853131749
highgt,56.56,104.832,84.56
highpd,57.68,111.552,85.568
lowgt,33.04,86.24,68.6
lowpd,35.84,90.72,70.112
rategt,5.05882352941,5.81081081081,6.0
ratepd,5.10891089109,5.91743119266,7.67857142857
ratiogt,0.415841584158,0.17735042735,0.188741721854
ratiopd,0.378640776699,0.186746987952,0.180628272251
highgt,72.8,72.0533333333,82.4
highpd,81.2,73.1733333333,86.8
lowgt,27.328,52.2666666667,55.328
lowpd,28.672,53.3866666667,51.744
rategt,3.16176470588,3.0,10.3793103448
ratepd,2.51707317073,3.0234375,8.89655172414
ratiogt,0.624615384615,0.274611398964,0.32854368932
ratiopd,0.646896551724,0.270408163265,0.403870967742
highgt,63.28,104.906666667,41.0666666667
highpd,64.4,105.28,40.6933333333
lowgt,51.52,78.7733333333,24.64
lowpd,52.64,62.3466666667,26.32
rategt,3.85074626866,9.0,10.1842105263
ratepd,4.09523809524,9.21428571429,10.4594594595
ratiogt,0.185840707965,0.249110320285,0.4
ratiopd,0.182608695652,0.40780141844,0.353211009174
highgt,22.96,59.1111111111,57.12
highpd,19.88,60.5661538462,48.16
lowgt,12.88,44.24,58.24
lowpd,15.12,42.56,57.12
rategt,6.0,2.41875,8.0625
ratepd,6.0,3.45061728395,12.09375
ratiogt,0.439024390244,0.251578947368,-0.0196078431373
ratiopd,0.239436619718,0.297297297297,-0.186046511628
highgt,76.72,62.16,56.0
highpd,77.84,65.52,57.9911111111
lowgt,23.52,60.1066666667,37.52
lowpd,25.76,55.6266666667,35.7155555556
rategt,5.375,5.48936170213,6.54822335025
ratepd,5.375,5.48936170213,5.86363636364
ratiogt,0.693430656934,0.033033033033,0.33
ratiopd,0.669064748201,0.150997150997,0.384120171674
highgt,67.2,58.688,53.3866666667
highpd,70.56,59.1242105263,48.16
lowgt,21.28,31.1733333333,57.12
lowpd,31.36,32.312,57.12
rategt,4.8679245283,2.65159301131,12.09375
ratepd,3.58333333333,2.51901336074,12.09375
ratiogt,0.683333333333,0.468829516539,-0.0699300699301
ratiopd,0.555555555556,0.453489531406,-0.186046511628
highgt,62.72,63.28,73.4222222222
highpd,64.2133333333,56.0,72.464
lowgt,29.12,71.68,69.2533333333
lowpd,34.72,72.8,65.3333333333
rategt,3.98969072165,8.89655172414,5.98453608247
ratepd,4.03125,6.14285714286,6.64948453608
ratiogt,0.535714285714,-0.132743362832,0.0567796610169
ratiopd,0.459302325581,-0.3,0.0984028851108
highgt,65.632,96.04,55.72
highpd,65.28,96.2181818182,57.6177777778
lowgt,41.0666666667,62.8218181818,39.84
lowpd,39.872,60.5818181818,38.2666666667
rategt,2.9185520362,3.19175257732,5.43157894737
ratepd,4.08597285068,2.93181818182,6.11052631579
ratiogt,0.374288964733,0.345878611185,0.284996410625
ratiopd,0.389215686275,0.37037037037,0.335853131749
highgt,56.56,104.832,84.56
highpd,57.68,111.552,85.568
lowgt,33.04,86.24,68.6
lowpd,35.84,90.72,70.112
rategt,5.05882352941,5.81081081081,6.0
ratepd,5.10891089109,5.91743119266,7.67857142857
ratiogt,0.415841584158,0.17735042735,0.188741721854
ratiopd,0.378640776699,0.186746987952,0.180628272251
highgt,72.8,72.0533333333,82.4
highpd,81.2,73.1733333333,86.8
lowgt,27.328,52.2666666667,55.328
lowpd,28.672,53.3866666667,51.744
rategt,3.16176470588,3.0,10.3793103448
ratepd,2.51707317073,3.0234375,8.89655172414
ratiogt,0.624615384615,0.274611398964,0.32854368932
ratiopd,0.646896551724,0.270408163265,0.403870967742
highgt,63.28,104.906666667,41.0666666667
highpd,64.4,105.28,40.6933333333
lowgt,51.52,78.7733333333,24.64
lowpd,52.64,62.3466666667,26.32
rategt,3.85074626866,9.0,10.1842105263
ratepd,4.09523809524,9.21428571429,10.4594594595
ratiogt,0.185840707965,0.249110320285,0.4
ratiopd,0.182608695652,0.40780141844,0.353211009174
highgt,69.44,112.0,29.68
highpd,72.8,112.0,33.6
lowgt,70.56,112.0,19.04
lowpd,72.8,113.12,28.0
rategt,11.7272727273,0.0,43.0
ratepd,0.0,0.0,0.0
ratiogt,-0.0161290322581,0.0,0.358490566038
ratiopd,0.0,-0.01,0.166666666667
highgt,22.96,59.1111111111,57.12
highpd,19.88,60.5661538462,48.16
lowgt,12.88,44.24,58.24
lowpd,15.12,42.56,57.12
rategt,6.0,2.41875,8.0625
ratepd,6.0,3.45061728395,12.09375
ratiogt,0.439024390244,0.251578947368,-0.0196078431373
ratiopd,0.239436619718,0.297297297297,-0.186046511628
highgt,76.72,62.16,56.0
highpd,77.84,65.52,57.9911111111
lowgt,23.52,60.1066666667,37.52
lowpd,25.76,55.6266666667,35.7155555556
rategt,5.375,5.48936170213,6.54822335025
ratepd,5.375,5.48936170213,5.86363636364
ratiogt,0.693430656934,0.033033033033,0.33
ratiopd,0.669064748201,0.150997150997,0.384120171674
highgt,67.2,58.688,53.3866666667
highpd,70.56,59.1242105263,48.16
lowgt,21.28,31.1733333333,57.12
lowpd,31.36,32.312,57.12
rategt,4.8679245283,2.65159301131,12.09375
ratepd,3.58333333333,2.51901336074,12.09375
ratiogt,0.683333333333,0.468829516539,-0.0699300699301
ratiopd,0.555555555556,0.453489531406,-0.186046511628
highgt,62.72,63.28,73.4222222222
highpd,64.2133333333,56.0,72.464
lowgt,29.12,71.68,69.2533333333
lowpd,34.72,72.8,65.3333333333
rategt,3.98969072165,8.89655172414,5.98453608247
ratepd,4.03125,6.14285714286,6.64948453608
ratiogt,0.535714285714,-0.132743362832,0.0567796610169
ratiopd,0.459302325581,-0.3,0.0984028851108
highgt,65.632,96.04,55.72
highpd,65.28,96.2181818182,57.6177777778
lowgt,41.0666666667,62.8218181818,39.84
lowpd,39.872,60.5818181818,38.2666666667
rategt,2.9185520362,3.19175257732,5.43157894737
ratepd,4.08597285068,2.93181818182,6.11052631579
ratiogt,0.374288964733,0.345878611185,0.284996410625
ratiopd,0.389215686275,0.37037037037,0.335853131749
highgt,56.56,104.832,84.56
highpd,57.68,111.552,85.568
lowgt,33.04,86.24,68.6
lowpd,35.84,90.72,70.112
rategt,5.05882352941,5.81081081081,6.0
ratepd,5.10891089109,5.91743119266,7.67857142857
ratiogt,0.415841584158,0.17735042735,0.188741721854
ratiopd,0.378640776699,0.186746987952,0.180628272251
highgt,72.8,72.0533333333,82.4
highpd,81.2,73.1733333333,86.8
lowgt,27.328,52.2666666667,55.328
lowpd,28.672,53.3866666667,51.744
rategt,3.16176470588,3.0,10.3793103448
ratepd,2.51707317073,3.0234375,8.89655172414
ratiogt,0.624615384615,0.274611398964,0.32854368932
ratiopd,0.646896551724,0.270408163265,0.403870967742
highgt,63.28,104.906666667,41.0666666667
highpd,64.4,105.28,40.6933333333
lowgt,51.52,78.7733333333,24.64
lowpd,52.64,62.3466666667,26.32
rategt,3.85074626866,9.0,10.1842105263
ratepd,4.09523809524,9.21428571429,10.4594594595
ratiogt,0.185840707965,0.249110320285,0.4
ratiopd,0.182608695652,0.40780141844,0.353211009174
highgt,69.44,112.0,29.68
highpd,72.8,112.0,33.6
lowgt,70.56,112.0,19.04
lowpd,72.8,113.12,28.0
rategt,11.7272727273,0.0,43.0
ratepd,0.0,0.0,0.0
ratiogt,-0.0161290322581,0.0,0.358490566038
ratiopd,0.0,-0.01,0.166666666667
